index,CODIGO,ENTIDAD,DIRECCION,COMUNA,HORARIO,LONGITUD,LATITUD,CATEGORIA,FUNCIONES
1475,123761,Desir Mito Mito,Los Escritores Nacionales 10943,LA FLORIDA,No hay informacion disponible,-70.573555,-33.557648,Punto Bip!,"Carga de tarjeta, Consulta de saldo, Activacion de carga remota"
1476,123773,Cafeteria Genova Ugarte Eirl,Los Jardines 999,ÐUÐOA,No hay informacion disponible,-70.590103,-33.464806,Punto Bip!,"Carga de tarjeta, Consulta de saldo, Activacion de carga remota"
1477,123774,San Andres,Lo Mercedarios 0773,QUILICURA,No hay informacion disponible,-70.757515,-33.360668,Punto Bip!,"Carga de tarjeta, Consulta de saldo, Activacion de carga remota"
1478,123789,Constance Suazo Saez,Salar De Pintados 02251,PUENTE ALTO,No hay informacion disponible,-70.546963,-33.594628,Punto Bip!,"Carga de tarjeta, Consulta de saldo, Activacion de carga remota"
1479,123791,Oxxo - Work La Dehesa,La Dehesa 222,LO BARNECHEA,No hay informacion disponible,-70.515053,-33.363907,Punto Bip!,"Carga de tarjeta, Consulta de saldo, Activacion de carga remota"
1480,123793,Oxxo - San Antonio,San Antonio 84,SANTIAGO,No hay informacion disponible,-70.648186,-33.441998,Punto Bip!,"Carga de tarjeta, Consulta de saldo, Activacion de carga remota"
1481,123796,Joel Elias Marin Piðones,Via Nueve 1840,ÐUÐOA,No hay informacion disponible,-70.621925,-33.468521,Punto Bip!,"Carga de tarjeta, Consulta de saldo, Activacion de carga remota"
1482,123798,Oxxo - Barcelona,Vicuða Mackenna Oriente 6617,LA FLORIDA,No hay informacion disponible,-70.603844,-33.515644,Punto Bip!,"Carga de tarjeta, Consulta de saldo, Activacion de carga remota"
1483,123801,Oxxo - Infante,Infante 344,PROVIDENCIA,No hay informacion disponible,-70.622749,-33.434601,Punto Bip!,"Carga de tarjeta, Consulta de saldo, Activacion de carga remota"
1484,123802,Mundo Hogar ,Av. Los Silos 1150,PADRE HURTADO,No hay informacion disponible,-70.807327,-33.576298,Punto Bip!,"Carga de tarjeta, Consulta de saldo, Activacion de carga remota"
1485,123803,Oxxo - Av La Florida,Av. La Florida 9073,LA FLORIDA,No hay informacion disponible,-70.574379,-33.534454,Punto Bip!,"Carga de tarjeta, Consulta de saldo, Activacion de carga remota"
1486,123804,Oxxo - Nataniel Cox 1,Nataniel Cox 762,SANTIAGO,No hay informacion disponible,-70.651848,-33.455280,Punto Bip!,"Carga de tarjeta, Consulta de saldo, Activacion de carga remota"
1487,123806,Carnesmarket,San Jorge 2227,LA FLORIDA,No hay informacion disponible,-70.564255,-33.557163,Punto Bip!,"Carga de tarjeta, Consulta de saldo, Activacion de carga remota"
1488,123813,Oxxo - Diagonal Paraguay,Diagonal Paraguay 24,SANTIAGO,No hay informacion disponible,-70.634178,-33.442085,Punto Bip!,"Carga de tarjeta, Consulta de saldo, Activacion de carga remota"
1489,123818,La Tia Ceci,Av. Sur 700,MAIPU,No hay informacion disponible,-70.766098,-33.521358,Punto Bip!,"Carga de tarjeta, Consulta de saldo, Activacion de carga remota"
